Id,region,date,mortality_rate,O3,PM10,PM25,NO2,T2M,Code,Region
1,E12000001,2007-01-02,2.2640000000000002,42.358000000000004,9.021,4.509203661876505,7.758436835354054,278.138,E12000001,North East
2,E12000001,2007-01-03,2.03,49.506,5.256,1.7503365875934023,4.409027664863125,281.745,E12000001,North East
3,E12000001,2007-01-04,1.874,51.101000000000006,4.946000000000001,1.5201695091388387,4.252229888997675,280.52299999999997,E12000001,North East
4,E12000001,2007-01-05,2.069,47.478,6.8229999999999995,2.8915673977287426,5.613926481655589,280.421,E12000001,North East
5,E12000001,2007-01-06,1.913,45.226000000000006,7.532,3.4194011008028404,6.54014245444867,278.961,E12000001,North East
6,E12000001,2007-01-07,1.756,53.226000000000006,5.607,1.9769360106147182,3.9812629492931393,281.504,E12000001,North East
7,E12000001,2007-01-08,1.756,48.177,4.6739999999999995,1.3479572287669157,4.813678409483522,279.519,E12000001,North East
8,E12000001,2007-01-09,2.147,56.917,5.979,2.21722580020824,3.4536080198875823,281.866,E12000001,North East
9,E12000001,2007-01-10,2.186,45.757,3.4330000000000003,0.478580484420597,4.995250357686352,278.04400000000004,E12000001,North East
10,E12000001,2007-01-11,1.249,56.388000000000005,6.159,2.3538972920853496,3.894874396603157,280.358,E12000001,North East
11,E12000001,2007-01-12,2.342,56.013999999999996,5.962000000000001,2.210663525186561,3.5509134518095564,282.10400000000004,E12000001,North East
12,E12000001,2007-01-13,1.444,55.656000000000006,5.122000000000001,1.6140210531204744,3.511540775255149,280.847,E12000001,North East
13,E12000001,2007-01-14,1.6780000000000002,54.312,4.99,1.5330446707192493,3.9959539509553395,279.163,E12000001,North East
14,E12000001,2007-01-15,2.186,56.653999999999996,5.59,1.9425827949376462,3.5223895468689292,280.905,E12000001,North East
15,E12000001,2007-01-16,1.795,33.107,7.525,3.5041888913506725,8.960477326142616,276.678,E12000001,North East
16,E12000001,2007-01-17,1.6780000000000002,50.589,5.812,2.1512475744158976,5.14835870091774,278.028,E12000001,North East
17,E12000001,2007-01-18,2.576,45.818999999999996,3.722,0.6837446187332255,4.980534491193325,278.681,E12000001,North East
18,E12000001,2007-01-19,2.03,49.809,8.244,3.893896445247478,5.752639421371242,280.647,E12000001,North East
19,E12000001,2007-01-20,1.756,49.056000000000004,6.767,2.845315740707118,5.679338343450311,278.567,E12000001,North East
20,E12000001,2007-01-21,1.834,47.73,3.846,0.7672490279858373,5.276887943817499,275.684,E12000001,North East
21,E12000001,2007-01-22,1.834,48.284,3.341,0.40236914437944193,5.064595809218893,275.259,E12000001,North East
22,E12000001,2007-01-23,1.756,42.107,2.798,0.061995559435999326,6.318147248825923,272.845,E12000001,North East
23,E12000001,2007-01-24,1.6780000000000002,52.358000000000004,3.155,0.24012621100514764,4.272136179762043,275.514,E12000001,North East
24,E12000001,2007-01-25,2.186,41.495,4.348,1.1741721061320831,6.774700787369262,274.23400000000004,E12000001,North East
25,E12000001,2007-01-26,1.327,46.715,5.215,1.7507673502578989,5.609396830531672,277.705,E12000001,North East
26,E12000001,2007-01-27,1.834,48.0,4.707,1.374771759211292,4.994437352116066,278.78,E12000001,North East
27,E12000001,2007-01-28,1.3659999999999999,54.158,2.884,0.01945862788060282,2.8698872737174668,280.84,E12000001,North East
28,E12000001,2007-01-29,1.913,47.568000000000005,6.49,2.6526439999312785,5.503102168521792,280.22700000000003,E12000001,North East
29,E12000001,2007-01-30,1.834,49.412,6.047999999999999,2.330018748643475,5.535464242522046,277.497,E12000001,North East
30,E12000001,2007-01-31,2.147,49.603,4.47,1.1852113510342832,4.024027303607767,282.047,E12000001,North East
31,E12000001,2007-02-01,1.6,39.469,7.329,3.3072503430253306,6.945851742474559,281.423,E12000001,North East
32,E12000001,2007-02-02,1.6780000000000002,43.623999999999995,8.418,4.064956603755441,7.090476682274073,279.311,E12000001,North East
33,E12000001,2007-02-03,1.6,38.709,5.702000000000001,2.1595844643674127,7.421308118230314,276.103,E12000001,North East
34,E12000001,2007-02-04,1.6780000000000002,34.037,15.42,9.16273209092411,12.176106024979312,275.448,E12000001,North East
35,E12000001,2007-02-05,1.639,38.911,7.672999999999999,3.5767621018338644,8.538849257270584,274.143,E12000001,North East
36,E12000001,2007-02-06,1.5219999999999998,36.65,9.351,4.8005533834895715,9.923124867704729,272.302,E12000001,North East
37,E12000001,2007-02-07,1.21,37.98,4.874,1.579504927691957,7.835737978662223,272.776,E12000001,North East
38,E12000001,2007-02-08,1.756,33.293,7.399,3.420302382103948,9.43827128443229,273.698,E12000001,North East
39,E12000001,2007-02-09,1.9909999999999999,35.499,13.970999999999998,8.1174009861953,11.641122767930561,273.945,E12000001,North East
40,E12000001,2007-02-10,2.342,27.243000000000002,7.242999999999999,3.3458061486424135,10.04921500913887,275.422,E12000001,North East
